Timestep,Auditory_Position,Visual_Position,Causal_Structure,Prob_Common,Noise_Std,Signal_Noise_Std,Azimuth_Min,Azimuth_Max,Starting_Position
49,3.913872303285065,3.069320336763193,true,0.7,2.0,0.5,-30.0,30.0,shared
50,5.546664228413386,5.633622852040794,true,0.7,2.0,0.5,-30.0,30.0,shared
51,4.438603382711607,3.699125157889395,true,0.7,2.0,0.5,-30.0,30.0,shared
52,15.388141357174032,-12.738085635001552,false,0.7,2.0,0.5,-30.0,30.0,shared
53,11.755086713055999,-13.922055937686237,false,0.7,2.0,0.5,-30.0,30.0,shared
54,5.677863829905872,5.88855281071548,true,0.7,2.0,0.5,-30.0,30.0,shared
55,4.264897723427672,3.689453876262495,true,0.7,2.0,0.5,-30.0,30.0,shared
56,3.1393169141589743,2.669755441373643,true,0.7,2.0,0.5,-30.0,30.0,shared
57,5.014439101402214,5.744734481910999,true,0.7,2.0,0.5,-30.0,30.0,shared
58,3.440192402787372,3.699854760548527,true,0.7,2.0,0.5,-30.0,30.0,shared
59,1.3946642041793544,1.5413327893483402,true,0.7,2.0,0.5,-30.0,30.0,shared
60,1.197031509757001,1.4624775995767352,true,0.7,2.0,0.5,-30.0,30.0,shared
61,2.8285896218709214,1.5961882760107549,true,0.7,2.0,0.5,-30.0,30.0,shared
62,0.5862582024152159,0.8573545380844937,true,0.7,2.0,0.5,-30.0,30.0,shared
63,-3.688279525439722,-19.97954025281625,false,0.7,2.0,0.5,-30.0,30.0,shared
64,-0.9942614615480225,-1.2888831038814517,true,0.7,2.0,0.5,-30.0,30.0,shared
65,-4.789137172147967,-25.028461909197215,false,0.7,2.0,0.5,-30.0,30.0,shared
66,-4.8008476493373085,-4.741231697405823,true,0.7,2.0,0.5,-30.0,30.0,shared
67,-3.676789993999308,-4.16655029218682,true,0.7,2.0,0.5,-30.0,30.0,shared
68,-5.077874000107595,-5.427525818319188,true,0.7,2.0,0.5,-30.0,30.0,shared
69,-5.1000589742272675,-4.944597371038122,true,0.7,2.0,0.5,-30.0,30.0,shared
70,-5.264752736830963,-5.351368413532196,true,0.7,2.0,0.5,-30.0,30.0,shared
71,-6.619665455422687,-7.870674766614113,true,0.7,2.0,0.5,-30.0,30.0,shared
72,-11.357927974871686,-11.493781463118435,true,0.7,2.0,0.5,-30.0,30.0,shared
73,-10.022797497399553,-9.473057096908587,true,0.7,2.0,0.5,-30.0,30.0,shared
74,-2.336340640219753,-19.735454458267263,false,0.7,2.0,0.5,-30.0,30.0,shared
75,-9.1427830699603,-8.996209055623867,true,0.7,2.0,0.5,-30.0,30.0,shared
76,-9.709623616052868,-9.144514316316032,true,0.7,2.0,0.5,-30.0,30.0,shared
77,-7.9145382288803745,-7.646648570865937,true,0.7,2.0,0.5,-30.0,30.0,shared
78,-0.5687140268665571,-19.095909688676855,false,0.7,2.0,0.5,-30.0,30.0,shared
79,-8.559333727055458,-9.75153885118436,true,0.7,2.0,0.5,-30.0,30.0,shared
80,-11.70465227380127,-10.852386038948081,true,0.7,2.0,0.5,-30.0,30.0,shared
81,-8.820514697964072,-10.029777820631473,true,0.7,2.0,0.5,-30.0,30.0,shared
82,-11.216324662423322,-11.471719761870174,true,0.7,2.0,0.5,-30.0,30.0,shared
83,-2.5612779781504313,-17.988410039261744,false,0.7,2.0,0.5,-30.0,30.0,shared
84,-13.40817401190526,-12.549812496321508,true,0.7,2.0,0.5,-30.0,30.0,shared
85,-12.285424568656916,-13.022336246736579,true,0.7,2.0,0.5,-30.0,30.0,shared
86,1.4694848506907685,-24.592902806751223,false,0.7,2.0,0.5,-30.0,30.0,shared
87,0.9241326950657699,-22.508235022756992,false,0.7,2.0,0.5,-30.0,30.0,shared
88,-14.458125731492208,-15.14724037989997,true,0.7,2.0,0.5,-30.0,30.0,shared
89,5.224389442002683,-20.672881506151555,false,0.7,2.0,0.5,-30.0,30.0,shared
90,-10.040792730621387,-9.961147831586443,true,0.7,2.0,0.5,-30.0,30.0,shared
91,-9.679983829843563,-10.42780906425551,true,0.7,2.0,0.5,-30.0,30.0,shared
92,-9.84911753937417,-9.813982659316512,true,0.7,2.0,0.5,-30.0,30.0,shared
93,-0.30825826761802777,-25.858153191723627,false,0.7,2.0,0.5,-30.0,30.0,shared
94,-16.0352958092645,-14.343812884846981,true,0.7,2.0,0.5,-30.0,30.0,shared
95,-12.403714477544176,-12.240224139971115,true,0.7,2.0,0.5,-30.0,30.0,shared
96,-1.7079299444600826,-24.142398235261407,false,0.7,2.0,0.5,-30.0,30.0,shared
97,-11.262926934171954,-11.42357153369964,true,0.7,2.0,0.5,-30.0,30.0,shared
98,-12.219899669515184,-12.440554833537103,true,0.7,2.0,0.5,-30.0,30.0,shared
99,-15.355920283489443,-14.798372708299599,true,0.7,2.0,0.5,-30.0,30.0,shared
100,2.464215973319671,-18.511838639137526,false,0.7,2.0,0.5,-30.0,30.0,shared
