Timestep,Auditory_Position,Visual_Position,Causal_Structure,Boundary_Std,Common_Source_Position,Prob_Common,Noise_Std,Signal_Noise_Std,Initial_Bound_Std,Azimuth_Min,Azimuth_Max,Starting_Position
16,13.87468258322981,16.479748068298854,false,1.0,17.161526807859314,0.3,2.0,0.5,1.0,-30.0,30.0,shared
17,16.2798953722406,17.715125659718083,false,1.0,16.124471273277067,0.3,2.0,0.5,1.0,-30.0,30.0,shared
18,15.817835006777543,15.242686908688055,true,1.0,15.19350638980556,0.3,2.0,0.5,1.0,-30.0,30.0,shared
19,19.568936228475117,18.782146398349283,true,1.0,18.8887454257216,0.3,2.0,0.5,1.0,-30.0,30.0,shared
20,20.39043588492313,20.798131318369563,true,1.0,20.603136874150263,0.3,2.0,0.5,1.0,-30.0,30.0,shared
21,19.788173856445315,20.322798841419196,false,1.0,20.269274179171198,0.3,2.0,0.5,1.0,-30.0,30.0,shared
22,21.03689225070569,19.81093914436687,false,1.0,21.851668329933524,0.3,2.0,0.5,1.0,-30.0,30.0,shared
23,16.923280370961816,21.92621567005867,false,1.0,20.38799015669639,0.3,2.0,0.5,1.0,-30.0,30.0,shared
24,19.454276373622463,20.556918804297915,false,1.0,20.962616287070556,0.3,2.0,0.5,1.0,-30.0,30.0,shared
25,23.032755841140716,22.691490462625975,true,1.0,22.67732271074833,0.3,2.0,0.5,1.0,-30.0,30.0,shared
26,20.33197870417984,24.162941171440476,false,1.0,22.6116898422297,0.3,2.0,0.5,1.0,-30.0,30.0,shared
27,22.45675713177661,26.092719678175825,false,1.0,22.798814958041003,0.3,2.0,0.5,1.0,-30.0,30.0,shared
28,28.278856924990198,28.295114163195425,false,1.0,25.953361135452287,0.3,2.0,0.5,1.0,-30.0,30.0,shared
29,24.287838749663948,25.453353467659124,false,1.0,26.579855441968718,0.3,2.0,0.5,1.0,-30.0,30.0,shared
30,26.839053820378513,24.822657392598842,true,1.0,25.852174664376026,0.3,2.0,0.5,1.0,-30.0,30.0,shared
31,20.71351091637791,21.39947942574892,false,1.0,22.373069753338687,0.3,2.0,0.5,1.0,-30.0,30.0,shared
32,19.173675091872056,19.511158433187195,false,1.0,20.8503320299832,0.3,2.0,0.5,1.0,-30.0,30.0,shared
33,18.31872255843832,18.01242281942337,true,1.0,18.101851980555782,0.3,2.0,0.5,1.0,-30.0,30.0,shared
34,16.42924791876078,16.964427317166674,false,1.0,18.45405730322707,0.3,2.0,0.5,1.0,-30.0,30.0,shared
35,13.841838967515045,16.00814422938555,false,1.0,15.263601705336235,0.3,2.0,0.5,1.0,-30.0,30.0,shared
36,13.917811730653597,18.032871117122035,false,1.0,15.030435547255564,0.3,2.0,0.5,1.0,-30.0,30.0,shared
37,19.112673041408446,16.648507898262793,false,1.0,18.13396238225967,0.3,2.0,0.5,1.0,-30.0,30.0,shared
38,19.93716365173604,17.88003281002066,false,1.0,19.047136085303347,0.3,2.0,0.5,1.0,-30.0,30.0,shared
39,23.958973676945007,16.964343620754853,false,1.0,19.199367227031775,0.3,2.0,0.5,1.0,-30.0,30.0,shared
40,20.67940728395427,16.626409144235716,false,1.0,18.76381562291812,0.3,2.0,0.5,1.0,-30.0,30.0,shared
41,17.39007410079635,17.67586162866359,true,1.0,17.88863973923185,0.3,2.0,0.5,1.0,-30.0,30.0,shared
42,22.10998167161814,22.64451853960208,false,1.0,21.93654783307228,0.3,2.0,0.5,1.0,-30.0,30.0,shared
43,21.90693108205877,20.603825756469526,false,1.0,20.31914468726032,0.3,2.0,0.5,1.0,-30.0,30.0,shared
44,15.783358235469958,21.25340194617721,false,1.0,21.526817633547573,0.3,2.0,0.5,1.0,-30.0,30.0,shared
45,18.001369495165864,23.2047428494145,false,1.0,20.457613450718704,0.3,2.0,0.5,1.0,-30.0,30.0,shared
46,19.054091323775506,23.230404787996715,false,1.0,20.46966375619213,0.3,2.0,0.5,1.0,-30.0,30.0,shared
47,22.537218400116426,20.68896948583303,false,1.0,19.5375738889521,0.3,2.0,0.5,1.0,-30.0,30.0,shared
48,20.808709633473473,22.17514739825383,false,1.0,20.181791937352944,0.3,2.0,0.5,1.0,-30.0,30.0,shared
49,18.760708041425282,18.493523955136023,false,1.0,19.738256884068427,0.3,2.0,0.5,1.0,-30.0,30.0,shared
50,14.076157177127119,18.312830554785194,false,1.0,19.454452338166508,0.3,2.0,0.5,1.0,-30.0,30.0,shared
51,14.624001205003573,19.30617229494175,false,1.0,16.888427101685778,0.3,2.0,0.5,1.0,-30.0,30.0,shared
52,14.292077772572842,14.937826858707359,false,1.0,16.45463178823654,0.3,2.0,0.5,1.0,-30.0,30.0,shared
53,12.86887335839858,14.158142445671425,true,1.0,13.24553634335091,0.3,2.0,0.5,1.0,-30.0,30.0,shared
54,11.436976102119182,12.125865997388473,true,1.0,12.073653443543943,0.3,2.0,0.5,1.0,-30.0,30.0,shared
55,12.150590648660764,18.833123470343228,false,1.0,15.337496052605811,0.3,2.0,0.5,1.0,-30.0,30.0,shared
56,17.71918539906704,15.816916268476051,false,1.0,18.6714612702878,0.3,2.0,0.5,1.0,-30.0,30.0,shared
57,18.80315391371408,17.877743500787208,true,1.0,18.82871876531943,0.3,2.0,0.5,1.0,-30.0,30.0,shared
58,17.573052596576268,11.688451588673436,false,1.0,19.50825857567361,0.3,2.0,0.5,1.0,-30.0,30.0,shared
59,23.06431361447323,20.49770662884749,false,1.0,19.88539109473653,0.3,2.0,0.5,1.0,-30.0,30.0,shared
60,17.78304800963911,18.413833454836613,true,1.0,17.51537381412658,0.3,2.0,0.5,1.0,-30.0,30.0,shared
61,15.406241082585924,17.837363173196845,false,1.0,20.255743938594463,0.3,2.0,0.5,1.0,-30.0,30.0,shared
62,24.400954680836104,22.39104243344437,false,1.0,21.43861196289962,0.3,2.0,0.5,1.0,-30.0,30.0,shared
63,22.127897339249895,22.041980931917994,true,1.0,21.959582970348222,0.3,2.0,0.5,1.0,-30.0,30.0,shared
64,26.684850956863453,23.2354142751658,false,1.0,22.931037451620604,0.3,2.0,0.5,1.0,-30.0,30.0,shared
65,18.686287113302704,19.90651731239488,false,1.0,21.38628607776527,0.3,2.0,0.5,1.0,-30.0,30.0,shared
66,24.464534974371073,25.932780108401552,false,1.0,21.731403081741263,0.3,2.0,0.5,1.0,-30.0,30.0,shared
67,24.524286311663346,24.745100002841106,true,1.0,24.632491171361686,0.3,2.0,0.5,1.0,-30.0,30.0,shared
68,23.429852229725917,22.551735500490736,true,1.0,22.59618668036728,0.3,2.0,0.5,1.0,-30.0,30.0,shared
69,26.067398879311508,23.60457182695485,true,1.0,25.02990514735164,0.3,2.0,0.5,1.0,-30.0,30.0,shared
70,29.898665767345026,30.336399574967565,false,1.0,25.30199415610507,0.3,2.0,0.5,1.0,-30.0,30.0,shared
71,25.12276110617339,24.587344759349758,true,1.0,24.653911609416546,0.3,2.0,0.5,1.0,-30.0,30.0,shared
72,26.07230412173065,27.460568830544403,false,1.0,23.437883225025637,0.3,2.0,0.5,1.0,-30.0,30.0,shared
73,27.846199363118654,28.688581245511035,false,1.0,26.189911231409102,0.3,2.0,0.5,1.0,-30.0,30.0,shared
74,22.726905031893683,24.0035763149875,true,1.0,23.997023963637446,0.3,2.0,0.5,1.0,-30.0,30.0,shared
75,19.098266430217343,18.932893406367988,true,1.0,19.45858302822586,0.3,2.0,0.5,1.0,-30.0,30.0,shared
76,23.122302836881673,22.85826697634972,true,1.0,22.896649914709474,0.3,2.0,0.5,1.0,-30.0,30.0,shared
77,25.899549102271997,27.475365309708028,false,1.0,25.02380494628561,0.3,2.0,0.5,1.0,-30.0,30.0,shared
78,21.5401381069217,24.80500066807029,false,1.0,23.672871620059915,0.3,2.0,0.5,1.0,-30.0,30.0,shared
79,23.919767636580247,20.294214536186992,false,1.0,22.200275490590027,0.3,2.0,0.5,1.0,-30.0,30.0,shared
80,21.071655747202797,20.51177002937257,true,1.0,20.611555401943587,0.3,2.0,0.5,1.0,-30.0,30.0,shared
81,21.806860725749978,22.26874528946888,false,1.0,22.919889977018965,0.3,2.0,0.5,1.0,-30.0,30.0,shared
82,21.651119125129497,19.394856546475282,false,1.0,21.613785177107843,0.3,2.0,0.5,1.0,-30.0,30.0,shared
83,19.774354221197036,21.69220020273312,false,1.0,21.76160826068314,0.3,2.0,0.5,1.0,-30.0,30.0,shared
84,23.85238539966902,23.142857004854115,true,1.0,23.502621459110365,0.3,2.0,0.5,1.0,-30.0,30.0,shared
85,23.42601370062424,22.555406020892526,true,1.0,23.3544892553934,0.3,2.0,0.5,1.0,-30.0,30.0,shared
86,21.653850626487653,22.121939682842697,true,1.0,21.652057802326286,0.3,2.0,0.5,1.0,-30.0,30.0,shared
87,21.99644413313866,22.080587091591813,true,1.0,22.236213335253247,0.3,2.0,0.5,1.0,-30.0,30.0,shared
88,20.62082090666537,21.655095508450465,true,1.0,20.508064313443693,0.3,2.0,0.5,1.0,-30.0,30.0,shared
89,18.227118275084806,18.45353776479392,true,1.0,18.902319736910215,0.3,2.0,0.5,1.0,-30.0,30.0,shared
90,20.453844945659657,22.41515426680955,false,1.0,20.301932356282094,0.3,2.0,0.5,1.0,-30.0,30.0,shared
91,18.867674819460557,18.426716187765074,true,1.0,18.800949896017723,0.3,2.0,0.5,1.0,-30.0,30.0,shared
92,20.4386248131679,16.67315713165853,false,1.0,21.46442359838657,0.3,2.0,0.5,1.0,-30.0,30.0,shared
93,17.224438985095915,23.321374508158883,false,1.0,20.453330600059484,0.3,2.0,0.5,1.0,-30.0,30.0,shared
94,19.915720281593376,20.904792521208783,true,1.0,21.048908009509848,0.3,2.0,0.5,1.0,-30.0,30.0,shared
95,19.699221894023662,20.648957012509413,true,1.0,20.294920312104672,0.3,2.0,0.5,1.0,-30.0,30.0,shared
96,22.005544965053005,22.652035236178357,true,1.0,22.27992760258426,0.3,2.0,0.5,1.0,-30.0,30.0,shared
97,23.328677626828146,23.782363706755984,false,1.0,21.74098198625848,0.3,2.0,0.5,1.0,-30.0,30.0,shared
98,22.931368416549525,21.733927013522706,false,1.0,22.84730606825935,0.3,2.0,0.5,1.0,-30.0,30.0,shared
99,24.371415370285906,18.63938260345669,false,1.0,23.711023298644403,0.3,2.0,0.5,1.0,-30.0,30.0,shared
100,22.877332581945232,22.23514684383101,true,1.0,22.15575241858606,0.3,2.0,0.5,1.0,-30.0,30.0,shared
101,22.08808897554046,24.41913755223087,false,1.0,22.415382021366657,0.3,2.0,0.5,1.0,-30.0,30.0,shared
102,24.03511579565788,26.0510630892771,false,1.0,24.630775087594976,0.3,2.0,0.5,1.0,-30.0,30.0,shared
103,21.70080494622853,25.58109749591018,false,1.0,25.701378049005346,0.3,2.0,0.5,1.0,-30.0,30.0,shared
104,24.185743933342764,28.88222825160923,false,1.0,27.010021256233347,0.3,2.0,0.5,1.0,-30.0,30.0,shared
105,25.6089082053775,23.421553458872246,false,1.0,25.597036297528067,0.3,2.0,0.5,1.0,-30.0,30.0,shared
106,25.344348543775542,23.439084223794453,false,1.0,26.546626157264143,0.3,2.0,0.5,1.0,-30.0,30.0,shared
107,28.324375221882995,27.717090317265203,true,1.0,27.67838089702381,0.3,2.0,0.5,1.0,-30.0,30.0,shared
108,28.017866720315524,28.040882563419892,false,1.0,28.62151880985006,0.3,2.0,0.5,1.0,-30.0,30.0,shared
109,28.683389878825338,28.245015045302488,false,1.0,28.374946764442985,0.3,2.0,0.5,1.0,-30.0,30.0,shared
110,27.903331092950623,28.241874068066288,true,1.0,28.425202127039576,0.3,2.0,0.5,1.0,-30.0,30.0,shared
111,29.098941912455846,28.758588247046426,false,1.0,27.553335074989423,0.3,2.0,0.5,1.0,-30.0,30.0,shared
112,22.290641473192025,26.51293612642374,false,1.0,24.793211380787685,0.3,2.0,0.5,1.0,-30.0,30.0,shared
113,27.77282831370188,25.769397349773058,false,1.0,23.840380047402554,0.3,2.0,0.5,1.0,-30.0,30.0,shared
114,27.074852132696904,29.96803162218665,false,1.0,26.12084538284309,0.3,2.0,0.5,1.0,-30.0,30.0,shared
115,26.28933657956234,26.29673179567937,true,1.0,25.93132949390323,0.3,2.0,0.5,1.0,-30.0,30.0,shared
116,26.964868903670293,25.2747494077752,false,1.0,27.233613227836553,0.3,2.0,0.5,1.0,-30.0,30.0,shared
117,29.45546361378264,26.128572128023247,false,1.0,29.182997815521787,0.3,2.0,0.5,1.0,-30.0,30.0,shared
118,25.358352515269548,29.648060010319675,false,1.0,28.797451688782793,0.3,2.0,0.5,1.0,-30.0,30.0,shared
119,29.43630152003845,29.411021101514365,true,1.0,29.931878395130973,0.3,2.0,0.5,1.0,-30.0,30.0,shared
120,27.982829662384603,27.27669389258511,false,1.0,28.8423607329933,0.3,2.0,0.5,1.0,-30.0,30.0,shared
121,27.86786393743799,27.47149982395199,true,1.0,26.914938172575237,0.3,2.0,0.5,1.0,-30.0,30.0,shared
122,25.454808880792694,22.764429371270214,false,1.0,24.498156004123523,0.3,2.0,0.5,1.0,-30.0,30.0,shared
123,22.259059831182956,20.410636258970342,false,1.0,22.320257099673356,0.3,2.0,0.5,1.0,-30.0,30.0,shared
124,21.676513600968015,21.99659393172108,true,1.0,22.070786039669017,0.3,2.0,0.5,1.0,-30.0,30.0,shared
125,27.746960527276073,23.98807716653682,false,1.0,25.040731208178734,0.3,2.0,0.5,1.0,-30.0,30.0,shared
126,27.00424265751934,25.56553802990622,false,1.0,26.316798037167835,0.3,2.0,0.5,1.0,-30.0,30.0,shared
127,24.456413981094308,22.82081095385527,false,1.0,22.95531242605255,0.3,2.0,0.5,1.0,-30.0,30.0,shared
128,26.949772895173975,21.551151993026835,false,1.0,25.005873036366026,0.3,2.0,0.5,1.0,-30.0,30.0,shared
129,26.18671194835349,24.614154059250996,false,1.0,25.06937794623949,0.3,2.0,0.5,1.0,-30.0,30.0,shared
130,27.023905704773117,26.697269569554145,true,1.0,26.665234245964747,0.3,2.0,0.5,1.0,-30.0,30.0,shared
131,29.56632104176749,25.930682050307713,false,1.0,25.306716774823208,0.3,2.0,0.5,1.0,-30.0,30.0,shared
132,24.2223119871372,26.892443170298726,false,1.0,24.3952710467614,0.3,2.0,0.5,1.0,-30.0,30.0,shared
133,26.26018286731666,26.71184264993542,true,1.0,26.281137576501933,0.3,2.0,0.5,1.0,-30.0,30.0,shared
134,24.41883595882479,26.69804120171583,false,1.0,26.537349640013407,0.3,2.0,0.5,1.0,-30.0,30.0,shared
135,27.69369910479783,28.916902985557662,false,1.0,29.59668705779809,0.3,2.0,0.5,1.0,-30.0,30.0,shared
136,29.404965473358068,28.473308211244806,true,1.0,29.000730223331676,0.3,2.0,0.5,1.0,-30.0,30.0,shared
137,29.302773182551274,26.82989649471206,false,1.0,28.791233682668615,0.3,2.0,0.5,1.0,-30.0,30.0,shared
138,29.21766419332331,25.643966444226276,false,1.0,29.746480196985306,0.3,2.0,0.5,1.0,-30.0,30.0,shared
139,23.492536450278624,27.58962306562012,false,1.0,26.891121885323304,0.3,2.0,0.5,1.0,-30.0,30.0,shared
140,23.865170996086363,24.011281234302263,false,1.0,25.311573291577844,0.3,2.0,0.5,1.0,-30.0,30.0,shared
141,25.89240581208554,24.251561363707307,false,1.0,25.051765391414722,0.3,2.0,0.5,1.0,-30.0,30.0,shared
142,25.39432347267975,24.868330040970793,false,1.0,26.55947507650738,0.3,2.0,0.5,1.0,-30.0,30.0,shared
143,29.11681146665407,24.857118113220142,false,1.0,26.495146458852496,0.3,2.0,0.5,1.0,-30.0,30.0,shared
144,23.2271035245839,29.43556335514204,false,1.0,27.789396803747294,0.3,2.0,0.5,1.0,-30.0,30.0,shared
145,23.61911333998078,29.630587964410168,false,1.0,27.434754616240614,0.3,2.0,0.5,1.0,-30.0,30.0,shared
146,25.61882150759362,25.82506413656714,true,1.0,25.04673859394577,0.3,2.0,0.5,1.0,-30.0,30.0,shared
147,25.606503893555953,25.583123164541913,false,1.0,25.732542739487833,0.3,2.0,0.5,1.0,-30.0,30.0,shared
148,24.82623919204765,23.863954103948533,true,1.0,24.595362734309298,0.3,2.0,0.5,1.0,-30.0,30.0,shared
149,20.21655734575119,18.778080985157747,false,1.0,22.570113914954756,0.3,2.0,0.5,1.0,-30.0,30.0,shared
150,21.536118185181973,24.643468122872648,false,1.0,21.25556870113258,0.3,2.0,0.5,1.0,-30.0,30.0,shared
151,19.80614269615603,19.72155073458865,false,1.0,20.72149568737968,0.3,2.0,0.5,1.0,-30.0,30.0,shared
152,24.83102214142686,24.589185464298986,true,1.0,24.63491732906992,0.3,2.0,0.5,1.0,-30.0,30.0,shared
153,23.079965233783078,24.573767475748202,true,1.0,23.325442761238218,0.3,2.0,0.5,1.0,-30.0,30.0,shared
154,28.24917755344517,28.49037230910506,true,1.0,28.533202260446817,0.3,2.0,0.5,1.0,-30.0,30.0,shared
155,25.022615018622,26.001658446807458,false,1.0,27.53983654345536,0.3,2.0,0.5,1.0,-30.0,30.0,shared
156,29.22678046664102,29.84038068566697,true,1.0,29.4311662748887,0.3,2.0,0.5,1.0,-30.0,30.0,shared
157,29.177669211794914,29.020758349608737,true,1.0,28.34452370650212,0.3,2.0,0.5,1.0,-30.0,30.0,shared
158,26.812916550552558,26.515977243338902,false,1.0,26.226501099439883,0.3,2.0,0.5,1.0,-30.0,30.0,shared
159,25.885402709897928,27.34978991283108,true,1.0,26.580915160222258,0.3,2.0,0.5,1.0,-30.0,30.0,shared
160,29.12965988213418,29.138607109223265,true,1.0,28.789477809659545,0.3,2.0,0.5,1.0,-30.0,30.0,shared
161,28.790347245320497,27.540146978413535,false,1.0,29.400747947408284,0.3,2.0,0.5,1.0,-30.0,30.0,shared
162,28.2185844308979,28.558579428812223,true,1.0,28.275401353746595,0.3,2.0,0.5,1.0,-30.0,30.0,shared
163,28.953032319263976,27.970363432408316,false,1.0,29.606427324227408,0.3,2.0,0.5,1.0,-30.0,30.0,shared
164,27.351743954890008,28.259963873057245,false,1.0,29.595690671198884,0.3,2.0,0.5,1.0,-30.0,30.0,shared
165,26.87481465549745,27.383235983431078,true,1.0,26.785194623889332,0.3,2.0,0.5,1.0,-30.0,30.0,shared
166,28.44498774438312,29.80015468776177,true,1.0,29.408464134017606,0.3,2.0,0.5,1.0,-30.0,30.0,shared
167,29.518661149251244,29.63069044950767,true,1.0,29.42278622397519,0.3,2.0,0.5,1.0,-30.0,30.0,shared
168,28.44297000167096,28.88384821860288,true,1.0,28.208249234583494,0.3,2.0,0.5,1.0,-30.0,30.0,shared
169,26.059453995947987,29.94834038742677,false,1.0,28.963769510431625,0.3,2.0,0.5,1.0,-30.0,30.0,shared
170,29.887789120586564,28.707055948182457,true,1.0,28.97399863712406,0.3,2.0,0.5,1.0,-30.0,30.0,shared
171,27.240842006876886,27.103865197572777,true,1.0,27.41770173173829,0.3,2.0,0.5,1.0,-30.0,30.0,shared
172,26.830654588778646,29.643972656216132,false,1.0,27.817698818970957,0.3,2.0,0.5,1.0,-30.0,30.0,shared
173,27.264760050090253,27.433561663588087,true,1.0,27.284639303805818,0.3,2.0,0.5,1.0,-30.0,30.0,shared
174,25.53891249859035,24.00398239627078,false,1.0,25.909854316689255,0.3,2.0,0.5,1.0,-30.0,30.0,shared
175,25.392294533435148,23.00472002065943,false,1.0,25.810040316857922,0.3,2.0,0.5,1.0,-30.0,30.0,shared
176,25.45946876611985,25.82104231149259,true,1.0,24.91893935761982,0.3,2.0,0.5,1.0,-30.0,30.0,shared
177,22.576747283501064,22.5821557660164,false,1.0,23.46368050626296,0.3,2.0,0.5,1.0,-30.0,30.0,shared
178,28.324846452774285,28.77108703266389,false,1.0,25.869885825592032,0.3,2.0,0.5,1.0,-30.0,30.0,shared
179,25.917639949521494,25.72196533601555,true,1.0,25.46887488178678,0.3,2.0,0.5,1.0,-30.0,30.0,shared
180,23.561455252587415,22.77109960136796,true,1.0,23.29679788193775,0.3,2.0,0.5,1.0,-30.0,30.0,shared
181,24.19910892840828,20.930204291710588,false,1.0,23.941846234126803,0.3,2.0,0.5,1.0,-30.0,30.0,shared
182,25.336605969715997,25.777434015167923,false,1.0,24.902051606642345,0.3,2.0,0.5,1.0,-30.0,30.0,shared
183,27.7051806222688,26.769257767864755,true,1.0,26.09637757868858,0.3,2.0,0.5,1.0,-30.0,30.0,shared
184,24.960445272439785,25.87989154592873,true,1.0,25.938687858623037,0.3,2.0,0.5,1.0,-30.0,30.0,shared
185,27.900801640715454,27.761914109491787,true,1.0,27.71624965684852,0.3,2.0,0.5,1.0,-30.0,30.0,shared
186,23.037883479864004,28.210076564637085,false,1.0,26.794905791072516,0.3,2.0,0.5,1.0,-30.0,30.0,shared
187,28.50636977748204,23.209452199919966,false,1.0,24.71028709776406,0.3,2.0,0.5,1.0,-30.0,30.0,shared
188,26.4434558348862,27.403297161375825,true,1.0,26.77370195829196,0.3,2.0,0.5,1.0,-30.0,30.0,shared
189,28.8138144194752,27.77778344009883,true,1.0,28.529275550173967,0.3,2.0,0.5,1.0,-30.0,30.0,shared
190,26.224639925885477,26.36711833597891,false,1.0,27.25296272187045,0.3,2.0,0.5,1.0,-30.0,30.0,shared
191,27.591656555322615,27.818616978826636,true,1.0,27.7689354562138,0.3,2.0,0.5,1.0,-30.0,30.0,shared
192,27.421743554065507,25.992344015663832,false,1.0,25.61184280169573,0.3,2.0,0.5,1.0,-30.0,30.0,shared
193,26.953075019662652,25.650252288078125,true,1.0,25.508855209781974,0.3,2.0,0.5,1.0,-30.0,30.0,shared
194,21.986855494748387,23.11503946622334,false,1.0,24.63396663403457,0.3,2.0,0.5,1.0,-30.0,30.0,shared
195,24.814959798600743,28.67948007559726,false,1.0,26.838428683199545,0.3,2.0,0.5,1.0,-30.0,30.0,shared
196,28.59634337466865,26.960513172164163,false,1.0,29.591894467700612,0.3,2.0,0.5,1.0,-30.0,30.0,shared
197,24.009121069275643,25.256177207090712,false,1.0,26.65703499890978,0.3,2.0,0.5,1.0,-30.0,30.0,shared
198,22.452944025454308,25.196940267569975,false,1.0,25.40385027620697,0.3,2.0,0.5,1.0,-30.0,30.0,shared
199,26.174835752377216,26.820291012324876,false,1.0,26.35639938072776,0.3,2.0,0.5,1.0,-30.0,30.0,shared
200,23.33278972008322,20.320122195597424,false,1.0,22.371817748334134,0.3,2.0,0.5,1.0,-30.0,30.0,shared
201,21.371947111950583,22.777118873886224,false,1.0,23.70548020981467,0.3,2.0,0.5,1.0,-30.0,30.0,shared
202,22.19721317827246,22.55504834046447,true,1.0,22.717772795002983,0.3,2.0,0.5,1.0,-30.0,30.0,shared
203,18.280382642286543,24.541867477317105,false,1.0,21.324592932464522,0.3,2.0,0.5,1.0,-30.0,30.0,shared
204,20.07751594300125,19.655537622743395,false,1.0,22.927055548499876,0.3,2.0,0.5,1.0,-30.0,30.0,shared
205,25.932730038750737,26.93978898548855,true,1.0,25.664355455927115,0.3,2.0,0.5,1.0,-30.0,30.0,shared
206,25.442240676782912,24.56284208045132,true,1.0,25.13405913697398,0.3,2.0,0.5,1.0,-30.0,30.0,shared
207,25.346834297437095,24.867764552502788,true,1.0,25.27533862284187,0.3,2.0,0.5,1.0,-30.0,30.0,shared
208,18.925648368297598,18.858243244064827,true,1.0,19.27943741646533,0.3,2.0,0.5,1.0,-30.0,30.0,shared
209,17.745455272763806,18.154059735050122,true,1.0,18.061060082046982,0.3,2.0,0.5,1.0,-30.0,30.0,shared
210,15.182462405313743,14.553555378074023,false,1.0,17.878629522912462,0.3,2.0,0.5,1.0,-30.0,30.0,shared
211,20.617444072344018,20.903718185349742,false,1.0,18.659036822976827,0.3,2.0,0.5,1.0,-30.0,30.0,shared
212,20.005641742114822,20.035847485682773,true,1.0,20.052070802532974,0.3,2.0,0.5,1.0,-30.0,30.0,shared
213,23.712790875956262,19.240729472138938,false,1.0,23.687787804226957,0.3,2.0,0.5,1.0,-30.0,30.0,shared
214,20.952043273782653,29.058571613078698,false,1.0,24.72785277202823,0.3,2.0,0.5,1.0,-30.0,30.0,shared
215,28.498596227199272,25.118961226732043,false,1.0,24.827753259540888,0.3,2.0,0.5,1.0,-30.0,30.0,shared
216,26.14566809007955,23.814416664539756,false,1.0,24.41588355104194,0.3,2.0,0.5,1.0,-30.0,30.0,shared
217,22.505050089711855,23.0292464095086,false,1.0,23.396993041801377,0.3,2.0,0.5,1.0,-30.0,30.0,shared
218,25.641975214644017,26.7809456067869,false,1.0,23.805838562995408,0.3,2.0,0.5,1.0,-30.0,30.0,shared
219,23.430156332590165,27.926223581762276,false,1.0,25.977288126533946,0.3,2.0,0.5,1.0,-30.0,30.0,shared
220,27.52655386840342,28.385685714458916,true,1.0,27.884757173300738,0.3,2.0,0.5,1.0,-30.0,30.0,shared
221,29.168264960776874,28.84994433082997,true,1.0,29.131380226099278,0.3,2.0,0.5,1.0,-30.0,30.0,shared
222,29.492845461335314,28.871144760164945,true,1.0,28.89643795642316,0.3,2.0,0.5,1.0,-30.0,30.0,shared
223,26.412572279810057,29.178188002363306,false,1.0,27.039239363460084,0.3,2.0,0.5,1.0,-30.0,30.0,shared
224,28.538404568964605,27.947591978879636,true,1.0,28.895458644054163,0.3,2.0,0.5,1.0,-30.0,30.0,shared
225,29.18430028116856,29.508346446176436,true,1.0,29.05367873140313,0.3,2.0,0.5,1.0,-30.0,30.0,shared
226,27.55747366429091,28.28418631404792,false,1.0,27.479046693478427,0.3,2.0,0.5,1.0,-30.0,30.0,shared
227,28.420775114261417,27.7804258183563,false,1.0,29.418070428110042,0.3,2.0,0.5,1.0,-30.0,30.0,shared
228,29.820180580521463,27.691401533022457,false,1.0,28.18025888045748,0.3,2.0,0.5,1.0,-30.0,30.0,shared
229,28.376054568244854,28.21129673711699,false,1.0,29.66124702888301,0.3,2.0,0.5,1.0,-30.0,30.0,shared
