Timestep,Auditory_Position,Visual_Position,Causal_Structure,Prob_Common,Noise_Std,Signal_Noise_Std,Azimuth_Min,Azimuth_Max,Starting_Position
46,-24.39847968365775,-24.18278599492296,true,0.7,2.0,0.5,-30.0,30.0,shared
47,-22.733674368833615,-22.719891807389804,true,0.7,2.0,0.5,-30.0,30.0,shared
48,-23.137257230401783,-17.356436832334158,false,0.7,2.0,0.5,-30.0,30.0,shared
49,-28.143282271572364,-28.386539758886588,true,0.7,2.0,0.5,-30.0,30.0,shared
50,-22.216935688228116,-11.329696004418166,false,0.7,2.0,0.5,-30.0,30.0,shared
51,-28.590050435255755,-28.960613293582117,true,0.7,2.0,0.5,-30.0,30.0,shared
52,-29.165144908889154,-28.52820254592434,true,0.7,2.0,0.5,-30.0,30.0,shared
53,-29.086555205242224,-30.029495499531603,true,0.7,2.0,0.5,-30.0,30.0,shared
54,-28.875181876622758,-29.202304280270802,true,0.7,2.0,0.5,-30.0,30.0,shared
55,-26.71561826213094,-26.465444130292784,true,0.7,2.0,0.5,-30.0,30.0,shared
56,-27.717740491728627,-11.490710571925579,false,0.7,2.0,0.5,-30.0,30.0,shared
57,-28.07100941109807,-28.181798682508596,true,0.7,2.0,0.5,-30.0,30.0,shared
58,-29.569334121942337,-10.220688088289842,false,0.7,2.0,0.5,-30.0,30.0,shared
59,-27.085879707893753,-27.659398436177366,true,0.7,2.0,0.5,-30.0,30.0,shared
60,-25.737447504745475,-9.258584967828481,false,0.7,2.0,0.5,-30.0,30.0,shared
61,-26.80400434266485,-27.231749921317657,true,0.7,2.0,0.5,-30.0,30.0,shared
62,-26.363529639138644,-27.399618493863823,true,0.7,2.0,0.5,-30.0,30.0,shared
63,-29.998339201983228,-28.884531156606265,true,0.7,2.0,0.5,-30.0,30.0,shared
64,-30.048162749583298,-29.535919236366265,true,0.7,2.0,0.5,-30.0,30.0,shared
65,-29.568396950427942,-6.199946049110519,false,0.7,2.0,0.5,-30.0,30.0,shared
66,-29.22754165046118,-28.58945200713485,true,0.7,2.0,0.5,-30.0,30.0,shared
67,-28.937246643921487,-29.26435171684509,true,0.7,2.0,0.5,-30.0,30.0,shared
68,-27.291854493881715,-27.18765639716483,true,0.7,2.0,0.5,-30.0,30.0,shared
69,-29.10241543389404,-29.46121378267403,true,0.7,2.0,0.5,-30.0,30.0,shared
70,-28.897116052371317,-28.779542595794418,true,0.7,2.0,0.5,-30.0,30.0,shared
71,-28.360829997456662,-29.009594477507395,true,0.7,2.0,0.5,-30.0,30.0,shared
72,-28.039470741372128,-28.821583598320395,true,0.7,2.0,0.5,-30.0,30.0,shared
73,-26.586713418406717,-27.135264403626802,true,0.7,2.0,0.5,-30.0,30.0,shared
74,-27.60777293302525,-26.444360668705762,true,0.7,2.0,0.5,-30.0,30.0,shared
75,-27.727027225889188,-27.28140688098013,true,0.7,2.0,0.5,-30.0,30.0,shared
76,-25.302459781965776,-12.800888588115093,false,0.7,2.0,0.5,-30.0,30.0,shared
77,-27.076919010076995,-28.169348965219452,true,0.7,2.0,0.5,-30.0,30.0,shared
78,-24.177343281490387,-25.828499217847856,true,0.7,2.0,0.5,-30.0,30.0,shared
79,-28.964561198251698,-8.751083382842017,false,0.7,2.0,0.5,-30.0,30.0,shared
80,-25.866794616823658,-25.08765086234024,true,0.7,2.0,0.5,-30.0,30.0,shared
81,-25.87272571419762,-9.761245772483974,false,0.7,2.0,0.5,-30.0,30.0,shared
82,-23.39557173661729,-10.51776558752232,false,0.7,2.0,0.5,-30.0,30.0,shared
83,-24.822305768192606,-7.266929551420576,false,0.7,2.0,0.5,-30.0,30.0,shared
84,-26.149055360169342,-25.942995574245664,true,0.7,2.0,0.5,-30.0,30.0,shared
85,-28.515486850086255,-27.64574506656215,true,0.7,2.0,0.5,-30.0,30.0,shared
86,-28.814811216426293,-28.92301683342099,true,0.7,2.0,0.5,-30.0,30.0,shared
87,-26.982699226550363,-26.493940523712926,true,0.7,2.0,0.5,-30.0,30.0,shared
88,-26.601231255599217,-26.816846205193883,true,0.7,2.0,0.5,-30.0,30.0,shared
89,-23.98305424476345,-14.40327878032141,false,0.7,2.0,0.5,-30.0,30.0,shared
90,-24.215433428191645,-24.023381623174284,true,0.7,2.0,0.5,-30.0,30.0,shared
91,-25.056787995061146,-24.971302528514354,true,0.7,2.0,0.5,-30.0,30.0,shared
92,-24.895648490055255,-23.215522827638754,true,0.7,2.0,0.5,-30.0,30.0,shared
93,-29.180278130876047,-19.038683374923068,false,0.7,2.0,0.5,-30.0,30.0,shared
94,-27.97087264329249,-15.479663800201807,false,0.7,2.0,0.5,-30.0,30.0,shared
95,-25.864269198719008,-25.239478648455027,true,0.7,2.0,0.5,-30.0,30.0,shared
96,-23.693546780601107,-17.508863490383902,false,0.7,2.0,0.5,-30.0,30.0,shared
97,-27.1379681790266,-26.2061916933487,true,0.7,2.0,0.5,-30.0,30.0,shared
98,-27.597250701961833,-27.97712084360216,true,0.7,2.0,0.5,-30.0,30.0,shared
99,-20.76534295560722,-13.32344119785112,false,0.7,2.0,0.5,-30.0,30.0,shared
100,-27.419558801021573,-27.124090819763715,true,0.7,2.0,0.5,-30.0,30.0,shared
